Sample,vglut2-: vgat+ Cell Density (cells/mm^2),vglut2-: vgat+ Cell Count,vglut2-: vgat+ Cell Area (mm^2),vglut2-: vgat+ Cell Percentage,vglut2-: vgat+ Intensity,vglut2+: vgat- Cell Density (cells/mm^2),vglut2+: vgat- Cell Count,vglut2+: vgat- Cell Area (mm^2),vglut2+: vgat- Cell Percentage,vglut2+: vgat- Intensity,Double Positive Cell Density (cells/mm^2),Double Positive Cell Count,Double Positive Cell Area (mm^2),Double Positive Cell Percentage,Double Negative Cell Density (cells/mm^2),Double Negative Cell Count,Double Negative Cell Area (mm^2),Double Negative Cell Percentage,Total Cell Area (mm^2),Total Annotation Area (mm^2),Subcellular cluster: Channel 2: Area (vglut2_Pos: vgat_Neg),Subcellular cluster: Channel 2: Area (vglut2_Neg: vgat_Pos),Subcellular cluster: Channel 2: Area (vglut2_Pos: vgat_Pos),Subcellular cluster: Channel 2: Mean channel intensity (vglut2_Pos: vgat_Neg),Subcellular cluster: Channel 2: Mean channel intensity (vglut2_Neg: vgat_Pos),Subcellular cluster: Channel 2: Mean channel intensity (vglut2_Pos: vgat_Pos),Subcellular: Channel 2: Num spots estimated (vglut2_Pos: vgat_Neg),Subcellular: Channel 2: Num spots estimated (vglut2_Neg: vgat_Pos),Subcellular: Channel 2: Num spots estimated (vglut2_Pos: vgat_Pos),Subcellular: Channel 2: Num single spots (vglut2_Pos: vgat_Neg),Subcellular: Channel 2: Num single spots (vglut2_Neg: vgat_Pos),Subcellular: Channel 2: Num single spots (vglut2_Pos: vgat_Pos),Subcellular: Channel 2: Num clusters (vglut2_Pos: vgat_Neg),Subcellular: Channel 2: Num clusters (vglut2_Neg: vgat_Pos),Subcellular: Channel 2: Num clusters (vglut2_Pos: vgat_Pos),Subcellular cluster: Channel 2: Area (vglut2_Neg: vgat_Neg),Subcellular cluster: Channel 2: Mean channel intensity (vglut2_Neg: vgat_Neg),Subcellular: Channel 2: Num spots estimated (vglut2_Neg: vgat_Neg),Subcellular: Channel 2: Num single spots (vglut2_Neg: vgat_Neg),Subcellular: Channel 2: Num clusters (vglut2_Neg: vgat_Neg)
2024_06_25__RecognizedCode-13.czi - Scene #0.csv,3469.2258802699334,636,0.163966685,89.07563025210085,529.8976147798743,403.6520678301495,74,0.0184343591,10.364145658263306,147.100572972973,21.819030693521594,4,0.0009251566,0.5602240896358543,7843.941534321013,1438,0.3945186178,201.40056022408965,0.1833262007,0.9780783000000001,0.0,0.0,0.0,0.0,0.0,0.0,475.6886,4190.566500000001,70.6731,113.0,1308.0,17.0,84.0,629.0,10.0,0.0,0.0,2484.412,905.0,370.0
2024_06_25__RecognizedCode-13.czi - Scene #1.csv,3588.4331789086573,1086,0.27252139470000003,89.60396039603961,505.7237096685083,393.20768719164846,119,0.0283464814,9.818481848184819,154.13479663865547,23.12986395244991,7,0.0017711716,0.5775577557755776,6542.447232264403,1980,0.5190971295000001,163.36633663366337,0.30263904770000005,1.337331,0.0,0.0,0.0,0.0,0.0,0.0,923.0126,11487.5175,93.0915,215.0,2974.0,26.0,153.0,1764.0,17.0,0.0,0.0,4697.4734,1498.0,717.0
2024_06_25__RecognizedCode-13.czi - Scene #2.csv,3755.238551282086,289,0.07349529939999999,95.37953795379538,365.5057726643598,181.91467030432253,14,0.0034638594000000003,4.62046204620462,138.28455000000002,0.0,0,0,0.0,18282.42436558441,1407,0.3854149065,464.35643564356434,0.0769591588,0.7010550999999999,0.0,0.0,0.0,0.0,0.0,0.0,16.7626,1004.2175,0.0,14.0,400.0,0.0,1.0,153.0,0.0,0.0,0.0,2015.8781999999999,914.0,276.0
2024_06_25__RecognizedCode-13.czi - Scene #3.csv,3485.7315542518677,361,0.0926253277,89.13580246913581,366.65121717451524,415.19794136518095,43,0.0107061624,10.617283950617285,123.46663023255816,9.655766078260022,1,0.00023357060000000002,0.24691358024691357,13778.778193677052,1427,0.3712938258,352.34567901234567,0.10356506069999999,0.7747094,0.0,0.0,0.0,0.0,0.0,0.0,554.0918,1896.3737,20.9168,103.0,639.0,0.0,68.0,291.0,3.0,0.0,0.0,2605.3069,1033.0,365.0
2024_06_25__RecognizedCode-11.czi - Scene #1.csv,3427.5911537437014,205,0.0562781643,93.18181818181817,546.9672936585365,250.79935271295378,15,0.0035306025000000005,6.8181818181818175,131.41186,0.0,0,0,0.0,9864.774540042848,590,0.16036923009999998,268.1818181818182,0.0598087668,0.3973098,0.0,0.0,0.0,0.0,0.0,0.0,38.1808,2774.1768,0.0,22.0,557.0,0.0,4.0,450.0,0.0,0.0,0.0,2012.245,642.0,314.0
2024_06_25__RecognizedCode-11.czi - Scene #2.csv,3726.412709138476,419,0.10804008610000002,95.88100686498856,497.05343293556086,160.08455552384862,18,0.004400492200000001,4.118993135011442,127.66302222222222,0.0,0,0,0.0,6358.914288863987,715,0.18841159759999998,163.61556064073227,0.11244057830000001,0.5127907,0.0,0.0,0.0,0.0,0.0,0.0,64.3318,4321.4466,0.0,15.0,1238.0,0.0,13.0,686.0,0.0,0.0,0.0,1565.8496,580.0,266.0
2024_06_25__RecognizedCode-11.czi - Scene #3.csv,3615.4497410410545,690,0.1837386554,95.83333333333334,409.85430913043473,141.4741203016065,27,0.0063894175,3.75,127.10107777777777,15.719346700178498,3,0.0007195531,0.4166666666666667,7010.82862827961,1338,0.36936167839999995,185.83333333333334,0.190847626,0.8513356999999999,0.0,0.0,0.0,0.0,0.0,0.0,51.6793,4729.7811,33.89,28.0,1745.0,11.0,6.0,733.0,5.0,0.0,0.0,2861.986,1266.0,407.0
2024_06_25__RecognizedCode-11.czi - Scene #4.csv,3429.885882492725,522,0.1395106079,90.78260869565217,407.4888609195403,341.6744557272446,52,0.0124353911,9.043478260869566,128.51482307692308,6.57066261013932,1,0.0002456534,0.17391304347826086,9428.900845549924,1435,0.3829983282,249.56521739130432,0.1521916524,0.9444796999999999,0.0,0.0,0.0,0.0,0.0,0.0,224.334,3813.1675,0.0,57.0,1167.0,0.0,37.0,589.0,0.0,0.0,0.0,3146.8268,1155.0,471.0
2024_06_25__RecognizedCode-15.czi - Scene #1.csv,3314.3934162889173,288,0.08005199650000001,90.85173501577287,913.0910548611113,310.72438277708596,27,0.006082898999999998,8.517350157728707,153.66391851851847,23.016620946450814,2,0.0007588324999999999,0.6309148264984227,4683.882362602741,407,0.10995933470000001,128.391167192429,0.08689372800000002,0.39524010000000004,0.0,0.0,0.0,0.0,0.0,0.0,46.4953,6516.1596,32.626000000000005,24.0,2289.0,5.0,6.0,761.0,7.0,0.0,0.0,1398.254,457.0,195.0
2024_06_25__RecognizedCode-15.czi - Scene #2.csv,3628.256043171433,322,0.0861132579,96.69669669669669,954.1962680124224,123.94663501517317,11,0.0026346133,3.303303303303303,143.69195454545456,0.0,0,0,0.0,4518.418240098586,401,0.1058245189,120.42042042042043,0.08874787120000001,0.37658590000000003,0.0,0.0,0.0,0.0,0.0,0.0,13.4985,5555.8909,0.0,6.0,1944.0,0.0,2.0,680.0,0.0,0.0,0.0,819.5120000000001,237.0,142.0
