Sample,vglut2-: vgat+ Cell Density (cells/mm^2),vglut2-: vgat+ Cell Count,vglut2-: vgat+ Cell Area (mm^2),vglut2-: vgat+ Cell Percentage,vglut2-: vgat+ Intensity,vglut2+: vgat- Cell Density (cells/mm^2),vglut2+: vgat- Cell Count,vglut2+: vgat- Cell Area (mm^2),vglut2+: vgat- Cell Percentage,vglut2+: vgat- Intensity,Double Positive Cell Density (cells/mm^2),Double Positive Cell Count,Double Positive Cell Area (mm^2),Double Positive Cell Percentage,Double Negative Cell Density (cells/mm^2),Double Negative Cell Count,Double Negative Cell Area (mm^2),Double Negative Cell Percentage,Total Cell Area (mm^2),Total Annotation Area (mm^2),Subcellular cluster: Channel 2: Area (vglut2_Pos: vgat_Neg),Subcellular cluster: Channel 2: Area (vglut2_Neg: vgat_Pos),Subcellular cluster: Channel 2: Area (vglut2_Pos: vgat_Pos),Subcellular cluster: Channel 2: Mean channel intensity (vglut2_Pos: vgat_Neg),Subcellular cluster: Channel 2: Mean channel intensity (vglut2_Neg: vgat_Pos),Subcellular cluster: Channel 2: Mean channel intensity (vglut2_Pos: vgat_Pos),Subcellular: Channel 2: Num spots estimated (vglut2_Pos: vgat_Neg),Subcellular: Channel 2: Num spots estimated (vglut2_Neg: vgat_Pos),Subcellular: Channel 2: Num spots estimated (vglut2_Pos: vgat_Pos),Subcellular: Channel 2: Num single spots (vglut2_Pos: vgat_Neg),Subcellular: Channel 2: Num single spots (vglut2_Neg: vgat_Pos),Subcellular: Channel 2: Num single spots (vglut2_Pos: vgat_Pos),Subcellular: Channel 2: Num clusters (vglut2_Pos: vgat_Neg),Subcellular: Channel 2: Num clusters (vglut2_Neg: vgat_Pos),Subcellular: Channel 2: Num clusters (vglut2_Pos: vgat_Pos),Subcellular cluster: Channel 2: Area (vglut2_Neg: vgat_Neg),Subcellular cluster: Channel 2: Mean channel intensity (vglut2_Neg: vgat_Neg),Subcellular: Channel 2: Num spots estimated (vglut2_Neg: vgat_Neg),Subcellular: Channel 2: Num single spots (vglut2_Neg: vgat_Neg),Subcellular: Channel 2: Num clusters (vglut2_Neg: vgat_Neg)
2023_05_23__C1595b_scan2.czi - Scene #1.csv,42.47285192112641,2,0.00039582079999999996,1.1627906976744187,463.28,3610.1924132957447,170,0.0466930821,98.83720930232558,638.0653588235294,0.0,0,0,0.0,2718.2625229520904,128,0.0379721587,74.4186046511628,0.0470889029,0.247246,0.0,0.0,0.0,0.0,0.0,0.0,61873.5349,676.0733,0.0,22374.0,135.0,0.0,3600.0,31.0,0.0,0.0,0.0,50489.04030000001,18205.0,2954.0
2023_05_23__C1595b_scan2.czi - Scene #2.csv,106.7160353653165,13,0.0042141911,2.947845804988662,704.1939230769232,3513.420241258112,428,0.11760442740000002,97.05215419501134,830.4759443925235,0.0,0,0,0.0,1198.5031664104777,146,0.048261880300000004,33.10657596371882,0.12181861850000002,0.4731012,0.0,0.0,0.0,0.0,0.0,0.0,150253.4381,5883.023,0.0,60470.0,2015.0,0.0,8489.0,329.0,0.0,0.0,0.0,61900.8545,24729.0,3451.0
2023_05_23__C1595b_scan2.czi - Scene #3.csv,286.1486412792018,38,0.009718544400000001,7.883817427385892,667.2514289473684,3343.42096652541,444,0.12307957000000001,92.11618257261411,749.6994855855855,0.0,0,0,0.0,1250.0177487459866,166,0.0472908583,34.439834024896264,0.1327981144,0.42242009999999997,0.0,0.0,0.0,0.0,0.0,0.0,163967.332,13674.379900000004,0.0,58771.0,4486.0,0.0,9588.0,765.0,0.0,0.0,0.0,63866.35250000001,22448.0,3679.0
2023_05_23__C1595b_scan2.czi - Scene #5.csv,216.588225621198,74,0.0189017683,5.580693815987934,645.3528864864865,3664.438628077566,1252,0.32276038709999993,94.41930618401206,631.7313160543131,0.0,0,0,0.0,1562.9474659691855,534,0.14349475960000002,40.27149321266968,0.34166215539999994,0.8179964000000001,0.0,0.0,0.0,0.0,0.0,0.0,425956.5836,26971.3046,0.0,156375.0,8428.0,0.0,24985.0,1554.0,0.0,0.0,0.0,190480.1256,68741.0,11121.0
2023_06_23__RecognizedCode-2.czi - Scene #1.csv,2747.8430001735555,648,0.15677806639999997,65.52072800808898,718.3337445987655,1293.3520294026766,305,0.06959374730000001,30.83923154701719,263.12280655737703,152.65794445408642,36,0.0094495196,3.640040444893832,4444.0423829967385,1048,0.2551763205,105.96562184024268,0.2358213333,0.8983833,0.0,0.0,0.0,0.0,0.0,0.0,3407.373,28288.652800000003,578.8387,2401.0,14645.0,434.0,116.0,1291.0,18.0,0.0,0.0,11238.973600000001,7766.0,349.0
2023_06_23__RecognizedCode-2.czi - Scene #2.csv,2699.7307420405205,688,0.1637006676,64.66165413533834,826.5915751453489,1436.1939703296953,366,0.08853540210000001,34.3984962406015,250.7290786885246,39.24027241337966,10,0.0026041591,0.9398496240601504,4830.477534087036,1231,0.2990671605,115.69548872180451,0.2548402288,0.8206131,0.0,0.0,0.0,0.0,0.0,0.0,1963.6394,30063.787200000002,171.6496,1745.0,20418.0,131.0,22.0,869.0,5.0,0.0,0.0,7580.323200000001,5817.0,165.0
2023_06_23__RecognizedCode-2.czi - Scene #3.csv,2326.8788531295936,408,0.09934906090000001,56.121045392022005,838.8792931372548,1659.6121231880188,291,0.06880305900000001,40.027510316368634,252.88648281786945,159.6877644304623,28,0.007190055499999999,3.851444291609354,4619.538899595516,810,0.1970288407,111.41678129298487,0.1753421754,0.553944,0.0,0.0,0.0,0.0,0.0,0.0,1869.3941,13459.7216,225.0,1352.0,10175.0,225.0,48.0,307.0,0.0,0.0,0.0,3758.0867000000003,3026.0,70.0
2023_06_23__RecognizedCode-2.czi - Scene #4.csv,2463.6720143011426,308,0.0721732111,56.61764705882353,795.5139172077921,1839.7550756144897,230,0.0512448648,42.279411764705884,249.29536,47.99361066820408,6,0.0015985652,1.1029411764705883,5791.2290206299585,724,0.17039959859999998,133.08823529411765,0.1250166411,0.4767667,0.0,0.0,0.0,0.0,0.0,0.0,4678.5353,25659.6261,292.3022,3566.0,14333.0,226.0,114.0,1009.0,7.0,0.0,0.0,13041.5225,10835.0,230.0
2023_12_11__C1595b_scan3.czi - Scene #2.csv,17.837956192195065,2,0.0007432306,0.45871559633027525,582.80385,3861.9175156102315,433,0.1111836653,99.31192660550458,244.3256339491917,8.918978096097533,1,0.0001935723,0.22935779816513763,2006.770071621945,225,0.0673030164,51.60550458715596,0.1121204682,0.4735871,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0
2024_06_25__RecognizedCode-11.czi - Scene #1.csv,3427.5911537437014,205,0.0562781643,93.18181818181817,546.9672936585365,250.79935271295378,15,0.0035306025000000005,6.8181818181818175,131.41186,0.0,0,0,0.0,9864.774540042848,590,0.16036923009999998,268.1818181818182,0.0598087668,0.3973098,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1801.4511000000002,0.0,26.0,919.0,0.0,0.0,88.0,0.0,0.0,0.0,1294.2913,917.0,39.0
