Sample,vglut2-: vgat+ Cell Density (cells/mm^2),vglut2-: vgat+ Cell Count,vglut2-: vgat+ Cell Area (mm^2),vglut2-: vgat+ Cell Percentage,vglut2-: vgat+ _ oprm1 Intensity,vglut2+: vgat- Cell Density (cells/mm^2),vglut2+: vgat- Cell Count,vglut2+: vgat- Cell Area (mm^2),vglut2+: vgat- Cell Percentage,vglut2+: vgat- _ oprm1 Intensity,Double Positive Cell Density (cells/mm^2),Double Positive Cell Count,Double Positive Cell Area (mm^2),Double Positive Cell Percentage,Total Cell Area (mm^2),Total Annotation Area (mm^2),VP Annotation Area (mm^2)
2024_06_25__RecognizedCode-17.czi - Scene #1.csv,3495.8379208400975,558,0.1338369676,83.65817091454272,104.75772043010754,645.2890785780108,103,0.024426797299999997,15.442278860569717,94.25696116504851,37.589655062796744,6,0.0013546192000000001,0.8995502248875562,0.15961838409999998,,0.7031261999999999
2024_06_25__RecognizedCode-19.czi - Scene #2.csv,3767.875576438011,321,0.0847468755,99.38080495356037,115.69472118380062,23.475860289333404,2,0.00044702049999999997,0.6191950464396285,98.98140000000001,0.0,0,0,0.0,0.085193896,,0.5086362
2024_06_25__RecognizedCode-11.czi - Scene #3.csv,3588.947924112158,337,0.08439690350000001,89.62765957446808,95.18202670623145,394.03879285504405,37,0.0089361254,9.840425531914894,85.50124864864866,21.29939420838076,2,0.0005663553,0.5319148936170213,0.0938993842,,0.8513356999999999
2024_06_25__RecognizedCode-19.czi - Scene #5.csv,3279.4365490750483,123,0.031014218999999996,83.1081081081081,113.94921300813006,639.8900583561069,24,0.0061983327,16.216216216216218,95.83695833333331,26.66208576483779,1,0.0002938913,0.6756756756756757,0.037506443,,0.5423715
2024_06_25__RecognizedCode-11.czi - Scene #4.csv,3160.9964564520715,321,0.0833685812,82.09718670076727,97.68842710280373,649.924505064912,66,0.016980894700000002,16.879795396419436,91.05867575757576,39.38936394332799,4,0.0012007803,1.0230179028132993,0.1015502562,,0.9444796999999999
2023_06_23__RecognizedCode-2.czi - Scene #1.csv,2920.2262242320685,795,0.18775155400000001,69.73684210526315,145.80493811320756,1149.7242870247012,313,0.07574859090000001,27.456140350877195,123.85177571884984,117.54369707600779,32,0.0087390376,2.807017543859649,0.2722391825,,0.8983833
2024_06_25__RecognizedCode-19.czi - Scene #4.csv,3619.170379426801,418,0.11286582149999999,97.43589743589743,114.62346602870814,95.2413257743895,11,0.0026302607999999996,2.564102564102564,93.91358181818181,0.0,0,0,0.0,0.1154960823,,0.9809445999999999
2024_06_25__RecognizedCode-11.czi - Scene #2.csv,3687.4421168208783,291,0.0721815557,91.50943396226415,103.0826178694158,304.1189374697632,24,0.0060552263,7.547169811320755,92.33531666666666,38.0148671837204,3,0.000679711,0.9433962264150944,0.07891649299999999,,0.5127907
2024_06_25__RecognizedCode-19.czi - Scene #3.csv,3721.212707899251,445,0.11123087890000001,93.09623430962343,108.3707782022472,259.23054819073434,31,0.0080430058,6.485355648535565,88.65272903225808,16.72455149617641,2,0.00031078700000000003,0.41841004184100417,0.11958467170000002,,0.7574337
2023_06_23__RecognizedCode-2.czi - Scene #4.csv,3537.3889749136597,414,0.09446812760000001,82.30616302186878,165.30576932367154,734.8199319868955,86,0.0216920335,17.09741550695825,140.95817906976743,25.633253441403333,3,0.0008753142,0.5964214711729622,0.11703547530000001,,0.4767667
