Sample,vglut2-: vgat+ Cell Density (cells/mm^2),vglut2-: vgat+ Cell Count,vglut2-: vgat+ Cell Area (mm^2),vglut2-: vgat+ Cell Percentage,vglut2-: vgat+ Intensity,vglut2+: vgat- Cell Density (cells/mm^2),vglut2+: vgat- Cell Count,vglut2+: vgat- Cell Area (mm^2),vglut2+: vgat- Cell Percentage,vglut2+: vgat- Intensity,Double Positive Cell Density (cells/mm^2),Double Positive Cell Count,Double Positive Cell Area (mm^2),Double Positive Cell Percentage,Double Negative Cell Density (cells/mm^2),Double Negative Cell Count,Double Negative Cell Area (mm^2),Double Negative Cell Percentage,Total Cell Area (mm^2),Total Annotation Area (mm^2)
2024_06_25__RecognizedCode-13.czi - Scene #0.csv,1100.641521111087,636,0.163966685,29.55390334572491,,128.06206377707616,74,0.0184343591,3.4386617100371746,,6.922273717679793,4,0.0009251566,0.18587360594795538,2488.5574015058855,1438,0.3945186178,66.82156133828995,0.5778448185,
2024_06_25__RecognizedCode-13.czi - Scene #1.csv,1321.5920512352975,1086,0.27252139470000003,34.02255639097744,,144.81533526427293,119,0.0283464814,3.7280701754385963,,8.518549133192524,7,0.0017711716,0.21929824561403508,2409.5324691030282,1980,0.5190971295000001,62.03007518796993,0.8217361772000001,
2024_06_25__RecognizedCode-13.czi - Scene #2.csv,625.0350564374529,289,0.07349529939999999,16.900584795321638,,30.2785148447209,14,0.0034638594000000003,0.8187134502923977,,0.0,0,0,0.0,3042.9907418944504,1407,0.3854149065,82.28070175438596,0.46237406529999997,
2024_06_25__RecognizedCode-13.czi - Scene #3.csv,760.2258486953682,361,0.0926253277,19.70524017467249,,90.55321743462835,43,0.0107061624,2.3471615720524017,,2.1058887775494965,1,0.00023357060000000002,0.05458515283842794,3005.1032855631315,1427,0.3712938258,77.89301310043668,0.47485888649999997,
2024_06_25__RecognizedCode-11.czi - Scene #1.csv,931.0648788085147,205,0.0562781643,25.308641975308642,,68.12669844940352,15,0.0035306025000000005,1.8518518518518516,,0.0,0,0,0.0,2679.6501390098715,590,0.16036923009999998,72.8395061728395,0.22017799689999998,
2024_06_25__RecognizedCode-11.czi - Scene #2.csv,1392.710552106065,419,0.10804008610000002,36.37152777777778,,59.830047584508755,18,0.004400492200000001,1.5625,,0.0,0,0,0.0,2376.582445717987,715,0.18841159759999998,62.06597222222222,0.3008521759,
2024_06_25__RecognizedCode-11.czi - Scene #3.csv,1231.6825061286863,690,0.1837386554,33.52769679300292,,48.196271978948594,27,0.0063894175,1.3119533527696794,,5.355141330994289,3,0.0007195531,0.1457725947521866,2388.3930336234525,1338,0.36936167839999995,65.01457725947522,0.5602093043999999,
2024_06_25__RecognizedCode-11.czi - Scene #4.csv,975.3545823387561,522,0.1395106079,25.970149253731346,,97.1617591601826,52,0.0124353911,2.587064676616915,,1.86849536846505,1,0.0002456534,0.04975124378109452,2681.290853747347,1435,0.3829983282,71.39303482587064,0.5351899806,
2024_06_25__RecognizedCode-15.czi - Scene #1.csv,1463.020163617703,288,0.08005199650000001,39.77900552486188,,137.15814033915967,27,0.006082898999999998,3.7292817679558015,,10.15986224734516,2,0.0007588324999999999,0.2762430939226519,2067.5319673347403,407,0.10995933470000001,56.21546961325967,0.19685306270000003,
2024_06_25__RecognizedCode-15.czi - Scene #2.csv,1654.9110582159622,322,0.0861132579,43.869209809264305,,56.53422869681859,11,0.0026346133,1.4986376021798364,,0.0,0,0,0.0,2060.929609765841,401,0.1058245189,54.63215258855586,0.1945723901,
2024_06_25__RecognizedCode-15.czi - Scene #3.csv,1398.3638497559155,442,0.11674533479999999,36.74147963424772,,126.54876468379325,40,0.0097852077,3.3250207813798838,,6.327438234189663,2,0.00042981849999999995,0.1662510390689942,2274.7140451911837,719,0.189123325,59.76724854530341,0.31608368600000003,
2024_06_25__RecognizedCode-15.czi - Scene #4.csv,1207.8719158416068,483,0.1189710754,31.001283697047498,,197.5608309554595,79,0.019015417,5.070603337612323,,17.505390084660966,7,0.0015612212999999997,0.4492939666238768,2473.2615419613853,989,0.2603291223,63.4788189987163,0.399876836,
2024_06_25__RecognizedCode-15.czi - Scene #5.csv,1383.1071309517736,437,0.11331246,36.53846153846153,,158.2502438159924,50,0.0122821258,4.1806020066889635,,9.495014628959543,3,0.0007947776,0.2508361204013378,2234.4934426818127,706,0.189565916,59.030100334448164,0.3159552794,
2024_06_25__RecognizedCode-17.czi - Scene #1.csv,1466.9321945441213,647,0.1674069215,38.081224249558566,,176.84808527734384,78,0.017961032300000002,4.590935844614479,,24.940114590394643,11,0.0026759862000000005,0.6474396703943496,2183.393668231822,963,0.253012574,56.68040023543261,0.441056514,
2024_06_25__RecognizedCode-17.czi - Scene #2.csv,1006.3918572504526,156,0.0385693244,25.44861337683524,,309.6590330001393,48,0.010978785,7.830342577487764,,25.804919416678274,4,0.0008329671,0.6525285481239804,2612.748090938675,405,0.1046281268,66.06851549755302,0.1550092033,
2024_06_25__RecognizedCode-17.czi - Scene #3.csv,912.3154365925552,267,0.06455345589999999,22.70408163265306,,153.7610286391947,45,0.010301376299999998,3.826530612244898,,6.83382349507532,2,0.000416663,0.17006802721088435,2945.377926377463,862,0.2173904387,73.29931972789116,0.29266193389999995,
2024_06_25__RecognizedCode-17.czi - Scene #4.csv,1116.369922516946,268,0.0655516207,27.74327122153209,,204.11241120645656,49,0.0115261446,5.072463768115942,,8.331118824753329,2,0.0004777506,0.2070393374741201,2695.116939807702,647,0.1625082789,66.97722567287785,0.24006379479999998,
2023_06_23__RecognizedCode-2.czi - Scene #1.csv,1319.7619071800136,648,0.15677806639999997,31.81148748159057,,621.1842310029384,305,0.06959374730000001,14.972999509081983,,73.3201059544452,36,0.0094495196,1.7673048600883652,2134.4297511182936,1048,0.2551763205,51.44820814923907,0.4909976538,
2023_06_23__RecognizedCode-2.czi - Scene #2.csv,1242.0848923309354,688,0.1637006676,29.978213507625274,,660.7602770248872,366,0.08853540210000001,15.947712418300652,,18.053559481554295,10,0.0026041591,0.4357298474945534,2222.3931721793338,1231,0.2990671605,53.63834422657951,0.5539073892999999,
2023_06_23__RecognizedCode-2.czi - Scene #3.csv,1095.6814100978038,408,0.09934906090000001,26.545217957059208,,781.4786527903453,291,0.06880305900000001,18.932986337020168,,75.19382226161399,28,0.007190055499999999,1.8217306441119063,2175.2498582824046,810,0.1970288407,52.70006506180872,0.3723710161,
2023_06_23__RecognizedCode-2.czi - Scene #4.csv,1042.5967113818083,308,0.0721732111,24.290220820189273,,778.5624792786232,230,0.0512448648,18.138801261829656,,20.310325546398865,6,0.0015985652,0.47318611987381703,2450.7792825987963,724,0.17039959859999998,57.09779179810725,0.29541623969999997,
2024_06_25__RecognizedCode-19.czi - Scene #1.csv,191.67391919995237,47,0.0124540527,4.3357933579335795,,2985.2193373269174,732,0.15561648449999999,67.52767527675276,,53.0161904170081,13,0.0034954331999999997,1.1992619926199262,1190.8252001358742,292,0.0736421424,26.937269372693727,0.2452081128,
2024_06_25__RecognizedCode-19.czi - Scene #2.csv,,0,0,,,,0,0,,,,0,0,,,0,0,,0,
2024_06_25__RecognizedCode-19.czi - Scene #3.csv,,0,0,,,,0,0,,,,0,0,,,0,0,,0,
2024_06_25__RecognizedCode-19.czi - Scene #4.csv,,0,0,,,,0,0,,,,0,0,,,0,0,,0,
2024_06_25__RecognizedCode-19.czi - Scene #5.csv,,0,0,,,,0,0,,,,0,0,,,0,0,,0,
