Sample,Classification,Metric,Min,Median,Mean,Max,Count
2024_06_25__RecognizedCode-13.czi - Scene #0.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,1.0,6.428224324324324,100.8243,74
2024_06_25__RecognizedCode-13.czi - Scene #0.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,1.0,1.527027027027027,14.0,74
2024_06_25__RecognizedCode-13.czi - Scene #0.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,1.135135135135135,18.0,74
2024_06_25__RecognizedCode-13.czi - Scene #0.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num spots estimated,0.0,2.0,6.58894103773585,115.1922,636
2024_06_25__RecognizedCode-13.czi - Scene #0.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num single spots,0.0,1.0,2.056603773584906,26.0,636
2024_06_25__RecognizedCode-13.czi - Scene #0.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num clusters,0.0,0.0,0.9889937106918238,21.0,636
2024_06_25__RecognizedCode-13.czi - Scene #0.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num spots estimated,3.3679,15.945,17.668275,35.4152,4
2024_06_25__RecognizedCode-13.czi - Scene #0.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num single spots,1.0,4.5,4.25,7.0,4
2024_06_25__RecognizedCode-13.czi - Scene #0.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num clusters,1.0,2.0,2.5,5.0,4
2024_06_25__RecognizedCode-13.czi - Scene #0.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,0.0,1.7276856745479832,176.5983,1438
2024_06_25__RecognizedCode-13.czi - Scene #0.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,0.0,0.6293463143254521,19.0,1438
2024_06_25__RecognizedCode-13.czi - Scene #0.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.2573018080667594,28.0,1438
2024_06_25__RecognizedCode-13.czi - Scene #1.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,1.0,7.756408403361345,95.9816,119
2024_06_25__RecognizedCode-13.czi - Scene #1.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,1.0,1.8067226890756303,13.0,119
2024_06_25__RecognizedCode-13.czi - Scene #1.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,1.2857142857142858,17.0,119
2024_06_25__RecognizedCode-13.czi - Scene #1.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num spots estimated,0.0,3.3679,10.577824585635359,261.0608,1086
2024_06_25__RecognizedCode-13.czi - Scene #1.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num single spots,0.0,1.0,2.738489871086556,44.0,1086
2024_06_25__RecognizedCode-13.czi - Scene #1.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num clusters,0.0,1.0,1.6243093922651934,34.0,1086
2024_06_25__RecognizedCode-13.czi - Scene #1.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num spots estimated,1.0,10.7092,13.298785714285714,28.89,7
2024_06_25__RecognizedCode-13.czi - Scene #1.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num single spots,1.0,4.0,3.7142857142857144,9.0,7
2024_06_25__RecognizedCode-13.czi - Scene #1.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num clusters,0.0,2.0,2.4285714285714284,6.0,7
